NOM_METRO,LINIES_METRO,NOM_RENFE,LINIES_RENFE,NOM_FGC,LINIES_FGC,NOM_TRAM,LINIES_TRAM,
,,Rubí,R8,,,,,
,,Sabadell Centre,R4,,,,,
,,Sabadell Nord,R4,Sabadell Nord,S2,,,
,,Sabadell Sud,R4,,,,,
,,Salomó,R13,,,,,
,,Salou,R16LD,,,,,
,,Sant Adrià de Besòs,R1,,,Sant Adrià de Besòs,T4T6,
,,Sant Andreu de Llavaneres,R1,,,,,
,,Sant Celoni,R2R11,,,,,
,,Sant Cugat-Coll Favà,R8,Volpelleres,S2S6,,,
,,Sant Feliu de Llobregat,R1R4,,,,,
,,Sant Guim de Freixenet,RL4,,,,,
,,Sant Joan Despí,R1R4,,,,,
,,Sant Jordi Desvalls,R11,,,,,
,,Sant Martí de Centelles,R3,,,,,
,,Sant Martí Sesgueioles,RL4,,,,,
,,Sant Miquel de Gonteres - Viladecavalls,R4,,,,,
,,Sant Miquel de Fluvià,R11,,,,,
,,Sant Pol de Mar,R1,,,,,
,,Sant Quirze de Besora,R3,,,,,
,,Sant Sadurní d'Anoia,R4,,,,,
,,Sant Vicenç de Calders,R2SR4R13R14R15R16LD,,,,,
,,Sant Vicenç de Castellet,R4RL4,Sant Vicenç - Castellgalí,R5R50,,,
,,Santa Perpètua de Mogoda,R3,,,,,
,,Santa Susanna,R1,,,,,
,,Segur de Calafell,R2SR13R14,,,,,
,,Seguers - Sant Pere Sallavinera,RL4,,,,,
,,La Selva del Camp,R14,,,,,
,,Sils,R11,,,,,
,,Sitges,R2SR13R14,,,,,
,,Tarragona,R14R15R16LD,,,,,
,,Tàrrega,RL3RL4,,,,,
,,Terrassa,R4RL4,Terrassa Estació del Nord,S1,,,
,,Terrassa Est,R4,,,,,
,,La Tor de Querol,R3,,,,,
,,Tordera,R1,,,,,
,,Torelló,R3,,,,,
,,Torredembarra,R14R15R16,,,,,
,,Tortosa,R16,,,,,
,,Toses,R3,,,,,
,,Ulldecona - Alcanar - la Sénia,R16,,,,,
,,Urtx-Alp,R3,,,,,
,,Vacarisses,R4,,,,,
,,Vacarisses-Torreblanca,R4,,,,,
,,Valls,R13LD,,,,,
,,El Vendrell,R4,,,,,
,,Vic,R3,,,,,
,,Vilabella,R13,,,,,
,,Viladecans,R2R2SR15,,,,,
,,Viladecavalls,R4,,,,,
,,Vilafranca del Penedès,R4,,,,,
,,Vilajuïga,R11,,,,,
,,Vilamalla,R11,,,,,
,,Vilanova i la Geltrú,R2SR13R14R15R16,,,,,
,,Vila-seca,R14R15,,,,,
,,Vilassar de Mar,R1,,,,,
,,Vilaverd,R13R14,,,,,
,,Vimbodí,R13R14,,,,,
,,Vinaixa,R13R14,,,,,
,,,,Abrera,S4R5R50,,,
,,,,Àger,RL2,,,
,,,,Aeri de Montserrat,R5,,,
,,,,Alcoletge,RL1RL2,,,
,,,,Almeda,L8S3S4S8S9R5R50R6R60,,,
,,,,Av. Tibidabo,L7,,,
,,,,Baixador de Vallvidrera,S1S2,,,
,,,,Balaguer,RL1RL2,,,
,,,,La Beguda,R6,,,
,,,,Bellaterra,S2,,,
,,,,La Bonanova,L6S1S2,,,
,,,,Can Feu-Gràcia,S2,,,
,,,,Can Parellada,R6,,,
